lemma,freq,freq_class,rank,prop,cum_sum_prop
mye,830,0,1,0.03918236321578624,0.03918236321578624
mange,754,0,2,0.035594580559882925,0.07477694377566917
stor,613,0,3,0.028938299579851768,0.10371524335552093
god,612,0,4,0.028891091913326724,0.13260633526884766
norsk,422,1,5,0.01992163527356843,0.1525279705424161
ny,416,1,6,0.019638389274418164,0.17216635981683426
hel,377,1,7,0.017797290279941463,0.1899636500967757
liten,310,1,8,0.014634376622763536,0.20459802671953925
lang,219,2,9,0.010338478968984563,0.21493650568852382
første,215,2,10,0.010149648302884388,0.2250861539914082
viktig,211,2,11,0.009960817636784214,0.2350469716281924
sist,174,2,12,0.008214133975357599,0.24326110560355002
litt,173,2,13,0.008166926308832555,0.25142803191238255
politisk,169,2,14,0.00797809564273238,0.25940612755511494
sterk,164,2,15,0.007742057310107161,0.2671481848652221
tidlig,158,2,16,0.007458811310956899,0.274606996176179
lenge,142,3,17,0.006703488646556201,0.2813104848227352
gammel,136,3,18,0.006420242647405938,0.28773072747014117
klar,134,3,19,0.006325827314355851,0.294056554784497
høy,121,3,20,0.005712127649530284,0.29976868243402727
offentlig,121,3,20,0.005712127649530284,0.30548081008355754
mulig,119,3,21,0.005617712316480197,0.31109852240003777
vanskelig,116,3,22,0.0054760893169050655,0.31657461171694284
samtidig,106,3,23,0.005004012651654629,0.32157862436859747
ofte,105,3,24,0.004956804985129585,0.32653542935372704
rett,99,3,25,0.004673558985979323,0.33120898833970636
vid,96,3,26,0.004531935986404192,0.3357409243261106
nær,93,3,27,0.004390312986829061,0.3401312373129396
svær,92,3,28,0.0043431053203040176,0.3444743426332436
veldig,92,3,28,0.0043431053203040176,0.34881744795354763
internasjonal,88,3,29,0.0041542746542038425,0.3529717226077515
bra,86,3,30,0.004059859321153755,0.3570315819289053
amerikansk,84,3,31,0.003965443988103668,0.36099702591700894
full,82,3,32,0.0038710286550535807,0.3648680545720625
økonomisk,79,3,33,0.0037294056554784496,0.368597460227541
lite,78,3,34,0.003682197988953406,0.37227965821649434
få,77,3,35,0.0036349903224283625,0.3759146485389227
særlig,77,3,35,0.0036349903224283625,0.37954963886135107
dårlig,76,3,36,0.0035877826559033185,0.3831374215172544
ung,76,3,36,0.0035877826559033185,0.3867252041731577
sen,73,4,37,0.003446159656328188,0.3901713638294859
faktisk,71,4,38,0.0033517443232781003,0.39352310815276403
spesiell,69,4,39,0.003257328990228013,0.396780437142992
ulik,69,4,39,0.003257328990228013,0.40003776613322
enkelt,68,4,40,0.003210121323702969,0.403247887456923
sikker,67,4,41,0.0031629136571779256,0.40641080111410094
kjent,65,4,42,0.0030684983241278385,0.40947929943822875
egentlig,64,4,43,0.0030212906576027945,0.41250059009583157
fast,63,4,44,0.002974082991077751,0.41547467308690933
enig,61,4,45,0.002879667658027664,0.418354340744937
lokal,61,4,45,0.002879667658027664,0.42123400840296465
alvorlig,60,4,46,0.00283245999150262,0.42406646839446727
privat,60,4,46,0.00283245999150262,0.4268989283859699
riktig,60,4,46,0.00283245999150262,0.4297313883774725
ansatt,58,4,47,0.0027380446584525328,0.43246943303592505
øke,58,4,47,0.0027380446584525328,0.43520747769437756
stadig,56,4,48,0.002643629325402445,0.43785110701978003
vond,56,4,48,0.002643629325402445,0.44049473634518244
lav,55,4,49,0.0025964216588774017,0.44309115800405985
enkel,54,4,50,0.002549213992352358,0.4456403719964122
hard,54,4,50,0.002549213992352358,0.44818958598876457
lett,54,4,50,0.002549213992352358,0.45073879998111693
snar,54,4,50,0.002549213992352358,0.4532880139734693
selvsagt,52,4,51,0.0024547986593022706,0.45574281263277155
fin,51,4,52,0.002407590992777227,0.45815040362554876
virkelig,50,4,53,0.0023603833262521834,0.460510786951801
vanlig,48,4,54,0.002265967993202096,0.4627767549450031
åpen,47,4,55,0.0022187603266770523,0.4649955152716801
glad,47,4,55,0.0022187603266770523,0.46721427559835715
andre,46,4,56,0.0021715526601520088,0.46938582825850916
kort,46,4,56,0.0021715526601520088,0.4715573809186612
rask,46,4,56,0.0021715526601520088,0.4737289335788132
nødvendig,45,4,57,0.0021243449936269652,0.47585327857244014
opptatt,45,4,57,0.0021243449936269652,0.4779776235660671
europeisk,44,4,58,0.0020771373271019212,0.48005476089316906
sentral,43,4,59,0.0020299296605768777,0.4820846905537459
tett,43,4,59,0.0020299296605768777,0.4841146202143228
trolig,43,4,59,0.0020299296605768777,0.4861445498748997
rik,41,4,60,0.0019355143275267904,0.48808006420242644
statlig,41,4,60,0.0019355143275267904,0.49001557852995326
fattig,40,4,61,0.0018883066610017466,0.491903885190955
redd,40,4,61,0.0018883066610017466,0.4937921918519568
tydelig,40,4,61,0.0018883066610017466,0.4956804985129585
betydelig,39,4,62,0.001841098994476703,0.4975215975074352
naturlig,39,4,62,0.001841098994476703,0.4993626965019119
positiv,39,4,62,0.001841098994476703,0.5012037954963886
rødgrønn,38,4,63,0.0017938913279516593,0.5029976868243403
bred,37,4,64,0.0017466836614266157,0.5047443704857669
fri,37,4,64,0.0017466836614266157,0.5064910541471935
homofil,37,4,64,0.0017466836614266157,0.5082377378086201
kirkelig,37,4,64,0.0017466836614266157,0.5099844214700467
personlig,37,4,64,0.0017466836614266157,0.5117311051314734
aktuell,36,5,65,0.001699475994901572,0.513430581126375
slett,36,5,65,0.001699475994901572,0.5151300571212765
syk,36,5,65,0.001699475994901572,0.5168295331161781
eventuell,35,5,66,0.0016522683283765284,0.5184818014445546
farlig,35,5,66,0.0016522683283765284,0.5201340697729311
