full_lemma,freq,freq_class,rank,prop,cum_sum_prop
et år,540,0,1,0.01219044179064045,0.01219044179064045
en dag,432,0,2,0.00975235343251236,0.02194279522315281
en gang,303,1,3,0.0068401923380815854,0.028782987561234395
et land,296,1,4,0.006682168092647357,0.03546515565388175
en verden,235,1,5,0.005305099668149084,0.04077025532203084
et barn,213,1,6,0.004808452039641511,0.04557870736167235
en prosent,205,1,7,0.004627852902002393,0.05020656026367474
en del,198,1,8,0.004469828656568165,0.0546763889202429
et folk,197,1,9,0.004447253764363275,0.05912364268460618
et liv,194,1,10,0.004379529087748606,0.06350317177235479
ei tid,190,2,11,0.004289229518929047,0.06779240129128383
et menneske,173,2,12,0.0039054563514459217,0.07169785764272976
en stat,166,2,13,0.003747432106011694,0.07544528974874144
et spørsmål,162,2,14,0.003657132537192135,0.07910242228593359
en mann,156,2,15,0.0035216831839627967,0.08262410546989638
ei kirke,155,2,16,0.003499108291757907,0.08612321376165429
et sted,145,2,17,0.0032733593697090095,0.0893965731313633
et forhold,141,2,18,0.003183059800889451,0.09257963293225274
et problem,136,2,19,0.003070185339865002,0.09564981827211776
en kamp,132,2,20,0.0029798857710454435,0.0986297040431632
en måte,118,2,21,0.002663837280176987,0.10129354132334017
et bilde,117,2,22,0.0026412623879720973,0.10393480371131228
et parti,115,2,23,0.002596112603562318,0.1065309163148746
en grunn,114,2,24,0.002573537711357428,0.10910445402623202
en sak,110,2,25,0.0024832381425378696,0.11158769216876989
en president,107,2,26,0.0024155134659232004,0.1140032056346931
en bil,104,2,27,0.0023477887893085313,0.11635099442400162
en million,104,2,27,0.0023477887893085313,0.11869878321331015
en ting,101,2,28,0.0022800641126938617,0.12097884732600402
et mål,101,2,28,0.0022800641126938617,0.12325891143869788
en regjering,99,2,29,0.0022349143282840824,0.12549382576698195
en far,98,2,30,0.0022123394360791925,0.12770616520306116
et ansvar,98,2,30,0.0022123394360791925,0.12991850463914034
et utvalg,98,2,30,0.0022123394360791925,0.13213084407521955
et eksempel,97,2,31,0.002189764543874303,0.13432060861909384
en statsminister,95,3,32,0.0021446147594645234,0.13646522337855838
ei krone,94,3,33,0.002122039867259634,0.138587263245818
en tid,93,3,34,0.002099464975054744,0.14068672822087275
en vei,93,3,34,0.002099464975054744,0.1427861931959275
et ord,92,3,35,0.0020768900828498542,0.14486308327877734
et samfunn,92,3,35,0.0020768900828498542,0.1469399733616272
en kirke,90,3,36,0.002031740298440075,0.14897171366006728
en kveld,89,3,37,0.002009165406235185,0.15098087906630245
en familie,88,3,38,0.0019865905140302956,0.15296746958033275
ei uke,87,3,39,0.0019640156218254058,0.15493148520215816
et arbeid,87,3,39,0.0019640156218254058,0.15689550082398357
et tillegg,87,3,39,0.0019640156218254058,0.15885951644580898
en leder,84,3,40,0.0018962909452107366,0.16075580739101972
et valg,84,3,40,0.0018962909452107366,0.16265209833623046
en by,82,3,41,0.0018511411608009571,0.1645032394970314
et område,82,3,41,0.0018511411608009571,0.16635438065783237
en person,81,3,42,0.0018285662685960675,0.16818294692642843
et medlem,81,3,42,0.0018285662685960675,0.1700115131950245
et samarbeid,81,3,42,0.0018285662685960675,0.17184007946362057
en penge,80,3,43,0.0018059913763911778,0.17364607084001174
et selskap,79,3,44,0.001783416484186288,0.17542948732419802
en skole,78,3,45,0.0017608415919813983,0.17719032891617942
et politi,77,3,46,0.0017382666997765085,0.17892859561595592
et krav,76,3,47,0.0017156918075716188,0.18064428742352756
et fall,75,3,48,0.0016931169153667292,0.18233740433889428
et forslag,74,3,49,0.0016705420231618393,0.1840079463620561
en rett,73,3,50,0.0016479671309569497,0.18565591349301308
en debatt,72,3,51,0.00162539223875206,0.18728130573176513
en stemme,72,3,51,0.00162539223875206,0.18890669797051718
en grad,71,3,52,0.0016028173465471702,0.19050951531706437
et hus,71,3,52,0.0016028173465471702,0.19211233266361152
et lag,71,3,52,0.0016028173465471702,0.1937151500101587
en jobb,69,3,53,0.0015576675621373909,0.1952728175722961
en plass,69,3,53,0.0015576675621373909,0.1968304851344335
en film,68,3,54,0.001535092669932501,0.19836557780436598
en krig,68,3,54,0.001535092669932501,0.1999006704742985
