lemma,freq,freq_class,rank,prop,cum_sum_prop
å ha,1419,0,1,0.054268012849931165,0.054268012849931165
å si,1089,0,2,0.04164754474529601,0.09591555759522717
å bli,806,1,3,0.03082453724950283,0.12674009484473
å få,721,1,4,0.027573810616490745,0.15431390546122076
å komme,632,1,5,0.024170108612513386,0.17848401407373413
å gjøre,611,1,6,0.023366987914945694,0.20185100198867983
å være,607,1,7,0.02321401254398042,0.22506501453266026
å ta,596,1,8,0.022793330273825914,0.24785834480648616
å gå,568,1,9,0.021722502677068992,0.26958084748355515
å se,544,1,10,0.020804650451277343,0.2903854979348325
å gi,347,2,11,0.01327061343123757,0.30365611136607007
å mene,260,2,12,0.009943399112742848,0.3135995104788129
å stå,255,2,13,0.009752179899036255,0.32335169037784917
å legge,237,3,14,0.00906379072969252,0.3324154811075417
å vise,227,3,15,0.008681352302279333,0.341096833409821
å bruke,204,3,16,0.007801743919229004,0.34889857732905005
å skrive,193,3,17,0.007381061649074499,0.35627963897812454
å tro,191,3,18,0.007304573963591862,0.3635842129417164
å ligge,189,3,19,0.007228086278109225,0.3708122992198256
å vite,187,3,20,0.007151598592626587,0.3779638978124522
å sette,168,3,21,0.006424965580541533,0.3843888633929937
å finne,160,3,22,0.0061190148386109835,0.3905078782316047
å skje,160,3,22,0.0061190148386109835,0.3966268930702157
å tenke,158,3,23,0.006042527153128347,0.40266942022334407
å holde,155,3,24,0.00592779562490439,0.40859721584824843
å fortelle,153,3,25,0.005851307939421753,0.41444852378767016
å ønske,150,3,26,0.005736576411197797,0.420185100198868
å spille,137,3,27,0.005239406455560655,0.42542450665442866
å snakke,127,3,28,0.0048569680281474684,0.4302814746825761
å begynne,125,4,29,0.004780480342664831,0.4350619550252409
å gjelde,121,4,30,0.004627504971699556,0.4396894599969405
å vinne,119,4,31,0.004551017286216919,0.4442404772831574
å finnes,118,4,32,0.0045127734434756,0.448753250726633
å synes,111,4,33,0.00424506654428637,0.4529983172709194
å klare,108,4,34,0.004130335016062414,0.4571286522869818
å jobbe,103,4,35,0.003939115802355821,0.46106776808933764
å leve,98,4,36,0.0037478965886492276,0.46481566467798685
å spørre,97,4,37,0.0037096527459079087,0.46852531742389475
å velge,95,4,38,0.0036331650604252714,0.47215848248432
å følge,94,4,39,0.003594921217683953,0.475753403702004
å kjenne,94,4,39,0.003594921217683953,0.47934832491968793
å møte,94,4,39,0.003594921217683953,0.4829432461373719
å lese,93,4,40,0.003556677374942634,0.4864999235123145
å føre,92,4,41,0.0035184335322013156,0.49001835704451585
å øke,92,4,41,0.0035184335322013156,0.4935367905767172
å sitte,91,4,42,0.0034801896894599968,0.49701698026617713
å bygge,90,4,43,0.0034419458467186783,0.5004589261128958
å høre,89,4,44,0.0034037020039773594,0.5038626281168732
å stille,89,4,44,0.0034037020039773594,0.5072663301208505
å sende,88,4,45,0.003365458161236041,0.5106317882820866
å skape,87,4,46,0.0033272143184947226,0.5139590026005814
å trenge,84,4,47,0.0032124827902707664,0.5171714853908521
å slå,82,4,48,0.003135995104788129,0.5203074804956402
å bidra,81,4,49,0.0030977512620468106,0.523405231757687
å vente,79,4,50,0.0030212635765641733,0.5264264953342512
å huske,77,4,51,0.002944775891081536,0.5293712712253327
å lage,77,4,51,0.002944775891081536,0.5323160471164142
å kjøpe,76,4,52,0.002906532048340217,0.5352225791647545
å forstå,75,4,53,0.0028682882055988987,0.5380908673703534
å bo,74,4,54,0.00283004436285758,0.540920911733211
å bety,73,4,55,0.0027918005201162614,0.5437127122533272
å kalle,72,4,56,0.0027535566773749425,0.5464662689307022
å la,70,4,57,0.002677068991892305,0.5491433379225945
å føle,69,4,58,0.0026388251491509867,0.5517821630717454
å kjøre,69,4,58,0.0026388251491509867,0.5544209882208965
å reise,69,4,58,0.0026388251491509867,0.5570598133700474
å sikre,68,4,59,0.002600581306409668,0.5596603946764571
å be,67,4,60,0.0025623374636683494,0.5622227321401254
å svare,67,4,60,0.0025623374636683494,0.5647850696037938
å betale,66,4,61,0.0025240936209270305,0.5673091632247208
å oppleve,66,4,61,0.0025240936209270305,0.5698332568456479
å selge,66,4,61,0.0025240936209270305,0.5723573504665749
å håpe,65,4,62,0.002485849778185712,0.5748432002447605
å kreve,65,4,62,0.002485849778185712,0.5773290500229463
å dra,62,5,63,0.0023711182499617563,0.579700168272908
å drive,62,5,63,0.0023711182499617563,0.5820712865228698
å fortsette,62,5,63,0.0023711182499617563,0.5844424047728316
å handle,62,5,63,0.0023711182499617563,0.5868135230227933
å virke,62,5,63,0.0023711182499617563,0.589184641272755
å falle,60,5,64,0.002294630564479119,0.5914792718372343
å hjelpe,60,5,64,0.002294630564479119,0.5937739024017133
å ville,60,5,64,0.002294630564479119,0.5960685329661924
å prøve,59,5,65,0.0022563867217378,0.5983249196879302
