lemma,freq,freq_class,rank,prop,cum_sum_prop
være,7006,0,1,0.05038620312702271,0.05038620312702271
det,5180,0,2,0.03725385843533795,0.08764006156236065
en,4940,1,3,0.03552781094026437,0.12316787250262504
ha,3673,1,4,0.02641571853918847,0.1495835910418135
som,2675,1,5,0.01923823770550753,0.16882182874732102
de,2387,2,6,0.01716698071141924,0.18598880945874027
jeg,2195,2,7,0.015786142715360385,0.20177495217410066
ikke,2128,2,8,0.015304287789652345,0.217079239963753
vi,1749,2,9,0.012578571120348662,0.22965781108410166
han,1692,2,10,0.012168634840268687,0.24182644592437036
bli,1669,2,11,0.012003221955324137,0.25382966787969446
den,1556,2,12,0.011190541259726997,0.2650202091394215
kunne,1199,3,13,0.008623045610805057,0.27364325475022655
si,1092,3,14,0.007853516102584756,0.2814967708528113
ville,1016,3,15,0.0073069343958114584,0.28880370524862276
få,996,3,16,0.007163097104555327,0.29596680235317807
seg,968,3,17,0.0069617248967967435,0.3029285272499748
skulle,884,3,18,0.006357608273520993,0.3092861355234958
mye,830,3,19,0.005969247587129439,0.31525538311062523
sin,769,3,20,0.00553054384879824,0.3207859269594235
mange,754,3,21,0.005422665880356141,0.32620859283977965
annen,682,3,22,0.0049048516318340694,0.3311134444716137
hun,652,3,23,0.004689095694949873,0.3358025401665636
komme,639,3,24,0.004595601455633387,0.34039814162219695
stor,613,4,25,0.004408612977000417,0.3448067545991974
gjøre,612,4,26,0.00440142111243761,0.349208175711635
god,612,4,26,0.00440142111243761,0.3536095968240726
dette,601,4,27,0.004322310602246739,0.35793190742631936
du,600,4,28,0.004315118737683932,0.3622470261640033
ta,597,4,29,0.004293543143995512,0.3665405693079988
gå,571,4,30,0.004106554665362542,0.3706471239733613
måtte,560,4,31,0.00402744415517167,0.374674568128533
se,551,4,32,0.003962717374106411,0.3786372855026394
år,541,4,33,0.0038907987284783454,0.3825280842311178
noen,521,4,34,0.003746961437222214,0.38627504566834
norsk,440,4,35,0.0031644204076348836,0.38943946607597485
dag,432,4,36,0.003106885491132431,0.39254635156710727
ny,416,4,37,0.002991815658127526,0.3955381672252348
man,402,4,38,0.002891129554248234,0.398429296779483
hel,377,4,39,0.0027113329401780707,0.40114062971966113
all,374,4,40,0.002689757346489651,0.40383038706615076
gi,352,4,41,0.0025315363261079068,0.4063619233922587
hva,318,4,42,0.0022870129309724837,0.4086489363232312
liten,310,4,43,0.0022294780144700315,0.41087841433770117
gang,303,5,44,0.002179134962530386,0.4130575493002316
land,296,5,45,0.0021287919105907396,0.4151863412108223
denne,290,5,46,0.0020856407232139004,0.4172719819340362
tid,283,5,47,0.0020352976712742546,0.41930727960531045
noe,279,5,48,0.0020065302130230283,0.4213138098183335
min,278,5,49,0.001999338348460222,0.4233131481667937
stå,274,5,50,0.0019705708902089955,0.42528371905700274
vår,262,5,51,0.001884268515455317,0.42716798757245805
mene,261,5,52,0.0018770766508925103,0.42904506422335054
kirke,245,5,53,0.0017620068178876055,0.43080707104123817
ingen,242,5,54,0.0017404312241991859,0.4325475022654373
legge,237,5,55,0.001704471901385153,0.4342519741668225
verden,235,5,56,0.00169008817225954,0.435942062339082
tro,231,5,57,0.0016613207140083138,0.4376033830530903
vise,229,5,58,0.0016469369848827007,0.43925032003797304
lang,219,5,59,0.001575018339254635,0.4408253383772277
første,215,5,60,0.001546250881003409,0.4423715892582311
barn,213,5,61,0.0015318671518777958,0.44390345641010887
viktig,211,5,62,0.0015174834227521827,0.4454209398328611
prosent,205,5,63,0.0014743322353753434,0.4468952720682364
bruke,204,5,64,0.001467140370812537,0.44836241243904895
del,198,5,65,0.0014239891834356975,0.4497864016224846
skrive,198,5,65,0.0014239891834356975,0.45121039080592035
folk,197,5,66,0.001416797318872891,0.45262718812479324
ligge,195,5,67,0.0014024135897472778,0.4540296017145405
liv,194,5,68,0.0013952217251844714,0.45542482343972496
egen,188,5,69,0.001352070537807632,0.4567768939775326
vite,188,5,69,0.001352070537807632,0.45812896451534024
hans,185,5,70,0.0013304949441192123,0.45945945945945943
disse,182,5,71,0.0013089193504307926,0.46076837880989024
ønske,181,5,72,0.0013017274858679862,0.46207010629575823
burde,178,5,73,0.0012801518921795665,0.4633502581879378
sist,174,5,74,0.0012513844339283402,0.46460164262186615
litt,173,5,75,0.0012441925693655338,0.4658458351912317
menneske,173,5,75,0.0012441925693655338,0.4670900277605972
rett,172,5,76,0.001237000704802727,0.4683270284653999
hver,170,5,77,0.0012226169756771141,0.469549645441077
politisk,169,5,78,0.0012154251111143074,0.47076507055219136
sette,169,5,78,0.0012154251111143074,0.4719804956633057
stat,166,5,79,0.0011938495174258878,0.47317434518073154
sterk,164,5,80,0.0011794657883002746,0.47435381096903184
